romaji,kanji,meaning
onaka,お腹,stomach belly abdomen
mazui,不味い,bad taste awful terrible
gohan,ご飯,meal cooked rice
kumoru,曇る,to get cloudy cloud over
kiiroi,黄色い,yellow
migaku,磨く,to brush polish shine
okashi,お菓子,sweets candy
nigiyaka,賑やか,bustling busy crowded lively
naku,鳴く,to make sound of an animal to call
yuuhan,夕飯,evening meal
shatsu,シャツ,formal shirt dress shirt
muttsu,六つ,six 6
otearai,お手洗い,bathroom toilet restroom
omawarisan,おまわりさん,police officer
sasu,差す,to shine to be visible
rei,零,zero nought 0
kirome-toru,キロメートル,kilometer km
yattsu,八つ,eight 8
sarainen,再来年,year after next
yoku,よく,nicely properly well frequently often
kotaeru,答える,to answer reply
se,背,back spine
obentou,お弁当,obento box lunch
bangohan,晩ご飯,dinner evening meal
hirugohan,昼ご飯,lunch midday meal
demo,でも,but however though still even so
nado,など,etc and so forth
kurasu,クラス,class
pu-ru,プール,pool
naka,中,in
terebi,テレビ,tv television
ko-hi-,コーヒー,coffee
hoteru,ホテル,hotel
nyu-su,ニュース,news
te-buru,テーブル,tabel
kamera,カメラ,camera
takushi-,タクシー,taxi
supo-tsu,スポーツ,sports sport
rajio,ラジオ,radio
pen,ペン,pen
resutoran,レストラン,restaurant
tesuto,テスト,test quiz examination
beddo,ベッド,bed
pan,パン,bread pastries pan frying pan
naifu,ナイフ,knife
nekutai,ネクタイ,tie necktie
gita-,ギター,guitar
se-ta-,セーター,sweater
me-toru,メートル,meter
apa-to,アパート,apartment building
poketto,ポケット,pocket
bata-,バター,butter
kiro,キロ,kilo
suka-to,スカート,skirt
reko-do,レコード,record
erebe-ta-,エレベーター,elevator lift
zubon,ズボン,trousers pants
posuto,ポスト,postbox mailbox mail box
kopi-,コピー,copy
shawa-,シャワー,shower
hankachi,ハンカチ,handkerchief tissue
ototoi,一昨日,day before yesterday
te-pu,テープ,tape
suto-bu,ストーブ,stove heater
kappu,カップ,cup
te-pureko-da-,テープレコーダー,tape recorder
bo-rupen,ボールペン,ball point pen
supu-n,スプーン,spoon
surippa,スリッパ,slipper slippers
shouyu,醤油,soy sauce
hai,はい,yes that is correct understood I see ok
petto,ペット,pet
suru,する,to do carry out
tsuitachi,一日,first day of the month
mikka,三日,third day of the month three days
itska,五日,fifth day of the month five days
futsuka,二日,second day of the month two days
tooka,十日,tenth day of the month ten days
muika,六日,sixth day of the month six days
youka,八日,eigth day of the month eight days
kokonoka,九日,ninth day of the month nine days
kuru,来る,to come arrive
ato,後,behind rear after later
hitori,一人,one person being alone single
futari,二人,two people pair
chizu,地図,map
soba,そば,near close beside
iie,いいえ,no nay
tsurai karai,辛い,spicy hot salty
mon,門,gate
kado,角,corner edge
shichi,七,seven 7
shi,四,four 4
obasan,おばさん,aunt
osake,お酒,alcohol sake
iriguchi,入口,entrance entry gate
deguchi,出口,exit gateway way out
sara,皿,plate dish
kore,これ,this one person time
mae,前,before in front of
mou,もう,now soon already tsk come on
kata,方,direction way person method of
hoka,他,other the rest
tsugi,次,next following
doa,ドア,door
dochira,どちら,which way one direction where
dareka,誰か,someone somebody
aku,開く,to open
douzo,どうぞ,please kindly by all means
konna,こんな,this sort of this kind of such
shita,下,under below bottom
soshite,そして,and then thus and now
yukkuri,ゆっくり,slowly leisurely
ko-to,コート,coat
saa,さあ,come now who knows i dont know uh hmm
doumo,どうも,thank you thanks greetings
jaa,じゃあ,then well then
koppu,コップ,glass
sorekara,それから,and then after that
ee,ええ,yes that is correct right
no-to,ノート,notebook note
batan,ボタン,button
depa-to,デパート,department store
toire,トイレ,toilet restroom bathroom
soredeha,それでは,well then in that situation case
fo-ku,フォーク,fork
asatte,明後日,day after tomorrow
dore,どれ,which
nurui,温い,lukewarm tepid
hatachi,二十歳,twenty 20 years old
achira,あちら,that way direction over there
deha,では,then well so
firumu,フィルム,film
yokka,四日,fourth day of the month four days
karenda-,カレンダー,calendar
nanoka,七日,seventh day of the month seven days
soushite,そうして,and like that
guramu,グラム,gram
kiroguramu,キログラム,kilogram
suguni,すぐに,immediately right away at once instantly
hitotsuki,一月,one month
ano,あの,say well um
macchi,マッチ,match contest
aki,秋,fall autumn
kare,カレー,curry
san,三,three 3
jigiki,字引,dictionary
san,三,three 3
rajikase,ラジカセ,radio cassette player
